Nikki Cal 04,,,,,,,,,,,,,,,,,,,,,,,,
Date:,6/8/2010,,,,,,,,,,,,,,,,,,,,,,,
Time:,15:14:51,,,,,,,,,,,,,,,,,,,,,,,
Type:,setup,,,,,,,,,,,,,,,,,,,,,,,
Description:,FastWalk,,,,,,,,,,,,,,,,,,,,,,,
Notes:,clean,,,,,,,,,,,,,,,,,,,,,,,

FORCE PLATES,,,,,,,,,,,,,,,,,,,,,,,,
960,Hz,,,,,,,,,,,,,,,,,,,,,,,
,Corner 1,,,Corner 2,,,Corner 3,,,Corner 4,,,,,,,,,,,,,,
Plate#,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,,,,,,,,,,,
1,0,900,0,600,900,0,600,0,0,0,0,0,,,,,,,,,,,,
2,599.998535,-1382.600616,0,-0.000854,-1382.59903,0,0.001373,-482.599457,0,600.000732,-482.601044,0,,,,,,,,,,,,

,Force Plate 1,,,,,,,,,,,,Force Plate 2,,,,,,,,,,,
Sample #,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z,COP:X,COP:Y,COP:Z,Ref:X,Ref:Y,Ref:Z,Force:X,Force:Y,Force:Z,Moment:X,Moment:Y,Moment:Z
Units:,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm,mm,mm,mm,mm,mm,mm,N,N,N,Nmm,Nmm,Nmm
117,,,,300,450,0,0,0,0,0,0,0,271.959353,-915.302207,0,299.999947,-932.600037,0,19.348163,-128.424154,692.485596,11978.49773,19417.70719,2439.577617
118,,,,300,450,0,0,0,0,0,0,0,272.140269,-915.423728,0,299.999947,-932.600037,0,20.378777,-128.383828,692.815002,11900.00432,19301.60261,2508.999021
119,,,,300,450,0,0,0,0,0,0,0,271.942722,-914.088484,0,299.999947,-932.600037,0,21.682954,-126.453907,693.98822,12846.79954,19471.38322,2392.195184
120,,,,300,450,0,0,0,0,0,0,0,271.86125,-914.122848,0,299.999947,-932.600037,0,22.614854,-127.247069,696.32666,12866.15888,19593.72483,2300.898252
121,,,,300,450,0,0,0,0,0,0,0,271.684867,-913.041891,0,299.999947,-932.600037,0,23.235013,-124.937485,697.333496,13638.55027,19745.05337,2212.119245
122,,,,300,450,0,0,0,0,0,0,0,272.048788,-912.673127,0,299.999947,-932.600037,0,23.313445,-125.93966,697.962524,13908.23642,19508.86132,2325.372592
123,,,,300,450,0,0,0,0,0,0,0,272.218187,-912.013322,0,299.999947,-932.600037,0,23.81244,-123.548418,697.495239,14359.13576,19377.64526,2407.243407
124,,,,300,450,0,0,0,0,0,0,0,272.206445,-911.238827,0,299.999947,-932.600037,0,23.478694,-124.320054,699.953247,14951.84803,19454.15195,2407.281088
125,,,,300,450,0,0,0,0,0,0,0,272.520238,-910.434503,0,299.999947,-932.600037,0,23.587871,-121.89863,700.887756,15535.55141,19260.19115,2405.747907
126,,,,300,450,0,0,0,0,0,0,0,272.104425,-910.309201,0,299.999947,-932.600037,0,22.530993,-121.833518,699.24939,15586.85331,19505.92654,2380.118985
127,,,,300,450,0,0,0,0,0,0,0,271.779243,-909.15743,0,299.999947,-932.600037,0,22.133296,-120.141408,701.153259,16436.86033,19787.03845,2334.189024
128,,,,300,450,0,0,0,0,0,0,0,272.030137,-909.644812,0,299.999947,-932.600037,0,21.050608,-119.649683,700.908508,16089.5119,19604.27723,2410.439505
129,,,,300,450,0,0,0,0,0,0,0,272.123954,-908.919369,0,299.999947,-932.600037,0,21.615171,-117.865116,698.358582,16537.59711,19467.43878,2493.294232
130,,,,300,450,0,0,0,0,0,0,0,272.446656,-908.187255,0,299.999947,-932.600037,0,20.871652,-117.683336,698.640991,17055.76963,19249.85852,2409.934521
131,,,,300,450,0,0,0,0,0,0,0,271.728717,-906.77431,0,299.999947,-932.600037,0,21.088988,-115.845057,698.699829,18044.43098,19753.10296,2359.92705
132,,,,300,450,0,0,0,0,0,0,0,272.122133,-906.796476,0,299.999947,-932.600037,0,21.619406,-114.542088,696.589905,17974.49966,19419.40324,2365.071618
133,,,,300,450,0,0,0,0,0,0,0,271.683839,-906.03578,0,299.999947,-932.600037,0,21.103241,-113.818949,699.111633,18571.38107,19796.1199,2158.735838
